AK-47 | Crane Flight,The Dead Hand Collection,0,1,Classified
AUG | Trigger Discipline,The Genesis Collection,0,1,Mil-Spec Grade
AUG | Akihabara Accept,The Rising Sun Collection,0,1,Covert
AUG | Chameleon,The Phoenix Collection,0,0.5,Covert
AUG | Momentum,The Prisma Collection,0.05,1,Classified
AUG | Triqua,The Spectrum 2 Collection,0,1,Mil-Spec Grade
AUG | Torque,The Huntsman Collection,0,0.5,Restricted
AUG | Fleet Flock,The Chroma 3 Collection,0,1,Classified
AUG | Arctic Wolf,The Shattered Web Collection,0,0.7,Restricted
AUG | Eye of Zapems,The Overpass 2024 Collection,0,0.85,Restricted
AUG | Aristocrat,The Gamma Collection,0,0.66,Restricted
AUG | Plague,The Operation Riptide Collection,0,0.76,Mil-Spec Grade
AUG | Sand Storm,The 2021 Mirage Collection,0,0.5,Restricted
AUG | Stymphalian,The Clutch Collection,0,0.63,Classified
AUG | Syd Mead,The Gamma 2 Collection,0,0.8,Classified
AUG | Tom Cat,The Prisma 2 Collection,0,0.8,Mil-Spec Grade
AUG | Lil' Pig,The Graphic Design Collection,0,0.8,Classified
AUG | Amber Slipstream,The Horizon Collection,0,0.55,Mil-Spec Grade
AUG | Copperhead,The Dust Collection,0.12,0.38,Mil-Spec Grade
AUG | Spalted Wood,The 2021 Dust 2 Collection,0,0.48,Industrial Grade
AUG | Snake Pit,The Anubis Collection,0,0.55,Consumer Grade
AUG | Wings,The Arms Deal Collection,0,0.14,Mil-Spec Grade
AUG | Commando Company,The Boreal Collection,0,0.65,Consumer Grade
AUG | Navy Murano,The Canals Collection,0,1,Consumer Grade
AUG | Bengal Tiger,The eSports 2014 Summer Collection,0.06,0.8,Classified
AUG | Contractor,The Italy Collection,0.06,0.8,Consumer Grade
AUG | Colony,The Mirage Collection,0.06,0.8,Consumer Grade
AUG | Storm,The Lake Collection,0.06,0.8,Consumer Grade
AUG | Creep,The Achroma Collection,0,0.8,Mil-Spec Grade
AUG | Daedalus,The Gods and Monsters Collection,0,0.55,Consumer Grade
AUG | Condemned,The Safehouse Collection,0.06,0.8,Industrial Grade
AUG | Sweeper,The 2018 Inferno Collection,0,0.6,Consumer Grade
AUG | Radiation Hazard,The Cache Collection,0,0.55,Industrial Grade
AWP | Fade,The Control Collection,0,0.08,Covert
AWP | Man-o'-war,The Chroma Collection,0.1,0.2,Covert
AWP | PAW,The Horizon Collection,0,0.5,Restricted
AWP | Graphite,The Bravo Collection,0,0.12,Classified
AWP | Lightning Strike,The Arms Deal Collection,0,0.08,Covert
AWP | Silk Tiger,The Havoc Collection,0,0.6,Classified
AWP | Worm God,The Chroma 2 Collection,0,0.45,Restricted
AWP | Ice Coaled,The Genesis Collection,0,1,Classified
AWP | LongDog,The Train 2025 Collection,0,1,Covert
AWP | Printstream,The Fever Collection,0,1,Covert
AWP | Queen's Gambit,The Dead Hand Collection,0,1,Covert
AWP | Chrome Cannon,The Kilowatt Collection,0,1,Covert
AWP | Asiimov,The Phoenix Collection,0.18,1,Covert
AWP | Chromatic Aberration,The Recoil Collection,0,0.7,Covert
AWP | Redline,The Winter Offensive Collection,0.1,0.4,Classified
AWP | Oni Taiji,The Operation Hydra Collection,0,0.5,Covert
AWP | Hyper Beast,The Falchion Collection,0,1,Covert
AWP | Elite Build,The Wildfire Collection,0,1,Classified
AWP | Neo-Noir,The Danger Zone Collection,0,0.5,Covert
AWP | Fever Dream,The Spectrum Collection,0,0.55,Classified
AWP | Capillary,The Prisma 2 Collection,0.05,0.7,Mil-Spec Grade
AWP | Atheris,The Prisma Collection,0,1,Restricted
AWP | Containment Breach,The Shattered Web Collection,0,1,Covert
AWP | Wildfire,The CS20 Collection,0.01,0.7,Covert
AWP | Corticera,The eSports 2014 Summer Collection,0.06,0.3,Classified
AWP | Dragon Lore,The Cobblestone Collection,0,0.7,Covert
AWP | Medusa,The Gods and Monsters Collection,0,1,Covert
AWP | Crakow!,The Overpass 2024 Collection,0,1,Classified
AWP | Green Energy,The Boreal Collection,0,0.75,Classified
AWP | Mortis,The Clutch Collection,0,0.64,Classified
AWP | The Prince,The Canals Collection,0,0.6,Covert
AWP | Exoskeleton,The Operation Broken Fang Collection,0,1,Restricted
AWP | Gungnir,The Norse Collection,0,0.6,Covert
AWP | Desert Hydra,The 2021 Mirage Collection,0,0.6,Covert
AWP | Duality,The Revolution Collection,0,0.8,Classified
AWP | Phobos,The Gamma Collection,0,0.4,Restricted
AWP | Black Nile,The Anubis Collection,0,0.75,Mil-Spec Grade
AWP | CMYK,The Graphic Design Collection,0,0.8,Covert
AWP | BOOM,The eSports 2013 Collection,0.06,0.28,Classified
AWP | Pink DDPAT,The Overpass Collection,0.06,0.8,Restricted
AWP | Electric Hive,The eSports 2013 Winter Collection,0,0.4,Classified
AWP | Acheron,The 2018 Nuke Collection,0,0.83,Mil-Spec Grade
AWP | Pit Viper,The Italy Collection,0.08,0.5,Restricted
AWP | POP AWP,The 2021 Train Collection,0,0.44,Restricted
AWP | Arsenic Spill,The Radiant Collection,0,0.501961,Mil-Spec Grade
AWP | Sun in Leo,The Gods and Monsters Collection,0,0.5,Industrial Grade
AWP | Exothermic,The Harlequin Collection,0,0.7,Restricted
AWP | The End,The Achroma Collection,0,1,Classified
AWP | Safari Mesh,The Lake Collection,0.06,0.8,Industrial Grade
AWP | Snake Camo,The Dust Collection,0.06,0.8,Mil-Spec Grade
PP-Bizon | Breaker Box,The 2021 Vertigo Collection,0,0.44,Industrial Grade
PP-Bizon | Carbon Fiber,The Vertigo Collection,0,0.12,Industrial Grade
PP-Bizon | Cobalt Halftone,The Winter Offensive Collection,0.05,0.45,Mil-Spec Grade
PP-Bizon | Brass,The Dust 2 Collection,0,1,Mil-Spec Grade
PP-Bizon | Rust Coat,The Alpha Collection,0,1,Mil-Spec Grade
PP-Bizon | RMX,The Dead Hand Collection,0,1,Mil-Spec Grade
PP-Bizon | Osiris,The Breakout Collection,0,0.5,Restricted
PP-Bizon | High Roller,The Spectrum 2 Collection,0,1,Classified
PP-Bizon | Antique,The Huntsman Collection,0,0.5,Restricted
PP-Bizon | Photic Zone,The Wildfire Collection,0,1,Mil-Spec Grade
PP-Bizon | Judgement of Anubis,The Chroma 3 Collection,0,0.5,Covert
PP-Bizon | Fuel Rod,The Revolver Case Collection,0,1,Restricted
PP-Bizon | Night Riot,The Clutch Collection,0,0.8,Mil-Spec Grade
PP-Bizon | Embargo,The Shattered Web Collection,0,1,Restricted
PP-Bizon | Space Cat,The Dreams & Nightmares Collection,0,0.67,Restricted
PP-Bizon | Lumen,The Operation Riptide Collection,0,0.77,Mil-Spec Grade
PP-Bizon | Runic,The Fracture Collection,0,1,Mil-Spec Grade
PP-Bizon | Harvester,The Gamma Collection,0,1,Mil-Spec Grade
PP-Bizon | Bamboo Print,The Rising Sun Collection,0,0.8,Consumer Grade
PP-Bizon | Jungle Slipstream,The Spectrum Collection,0,0.5,Mil-Spec Grade
PP-Bizon | Facility Sketch,The 2018 Nuke Collection,0,0.5,Consumer Grade
PP-Bizon | Modern Hunter,The Militia Collection,0.06,0.8,Mil-Spec Grade
PP-Bizon | Anolis,The 2021 Mirage Collection,0,0.5,Consumer Grade
PP-Bizon | Death Rattle,The Havoc Collection,0.08,0.5,Consumer Grade
PP-Bizon | Blue Streak,The eSports 2014 Summer Collection,0.06,0.8,Restricted
PP-Bizon | Night Ops,The Lake Collection,0,0.6,Industrial Grade
PP-Bizon | Water Sigil,The eSports 2013 Winter Collection,0,0.5,Mil-Spec Grade
PP-Bizon | Wood Block Camo,The Radiant Collection,0,0.6,Consumer Grade
PP-Bizon | Bizoom,The Achroma Collection,0,0.58,Consumer Grade
PP-Bizon | Thermal Currents,The Harlequin Collection,0,0.6,Consumer Grade
PP-Bizon | Seabird,The St. Marc Collection,0,0.5,Consumer Grade
PP-Bizon | Chemical Green,The Cache Collection,0,0.9,Industrial Grade
PP-Bizon | Candy Apple,The 2018 Inferno Collection,0,0.3,Industrial Grade
PP-Bizon | Forest Leaves,The Militia Collection,0.06,0.8,Consumer Grade
PP-Bizon | Irradiated Alert,The Nuke Collection,0.06,0.8,Consumer Grade
PP-Bizon | Sand Dashed,The Italy Collection,0.06,0.8,Consumer Grade
PP-Bizon | Urban Dashed,The Train Collection,0.06,0.8,Consumer Grade
PP-Bizon | Cold Cell,The Sport & Field Collection,0,0.4,Industrial Grade
CZ75-Auto | Army Sheen,The Chop Shop Collection,0,0.3,Consumer Grade
CZ75-Auto | Copper Fiber,The Train 2025 Collection,0,0.563291,Industrial Grade
CZ75-Auto | Emerald Quartz,The Norse Collection,0,0.7,Mil-Spec Grade
CZ75-Auto | Polymer,The Glove Collection,0,0.5,Mil-Spec Grade
CZ75-Auto | Tread Plate,The Arms Deal 3 Collection,0,0.2,Restricted
CZ75-Auto | The Fuschia Is Now,The Arms Deal 3 Collection,0,0.4,Classified
CZ75-Auto | Twist,The Huntsman Collection,0,1,Mil-Spec Grade
CZ75-Auto | Poison Dart,The Huntsman Collection,0,0.7,Mil-Spec Grade
CZ75-Auto | Chalice,The Cobblestone Collection,0,0.1,Restricted
CZ75-Auto | Emerald,The Chop Shop Collection,0,0.08,Mil-Spec Grade
CZ75-Auto | Silver,The Ancient Collection,0,0.08,Industrial Grade
CZ75-Auto | Victoria,The Arms Deal 3 Collection,0,0.75,Covert
CZ75-Auto | Slalom,The Graphic Design Collection,0,0.57,Restricted
CZ75-Auto | Tigris,The Breakout Collection,0,1,Restricted
CZ75-Auto | Distressed,The Prisma 2 Collection,0,1,Mil-Spec Grade
CZ75-Auto | Eco,The Horizon Collection,0,1,Restricted
CZ75-Auto | Pole Position,The Chroma 2 Collection,0,0.7,Restricted
CZ75-Auto | Circaetus,The Snakebite Collection,0,0.9,Mil-Spec Grade
CZ75-Auto | Yellow Jacket,The Falchion Collection,0,1,Classified
CZ75-Auto | Tacticat,The Spectrum 2 Collection,0,0.7,Restricted
CZ75-Auto | Imprint,The Gamma 2 Collection,0,1,Mil-Spec Grade
CZ75-Auto | Vendetta,The Operation Broken Fang Collection,0,1,Mil-Spec Grade
CZ75-Auto | Red Astor,The Chroma 3 Collection,0,1,Restricted
CZ75-Auto | Xiangliu,The Spectrum Collection,0,0.56,Classified
CZ75-Auto | Syndicate,The 2021 Train Collection,0,0.7,Restricted
CZ75-Auto | Hexane,The eSports 2014 Summer Collection,0,0.4,Mil-Spec Grade
CZ75-Auto | Green Plaid,The Baggage Collection,0,0.58,Consumer Grade
CZ75-Auto | Framework,The 2021 Vertigo Collection,0,0.8,Consumer Grade
CZ75-Auto | Crimson Web,The Arms Deal 3 Collection,0.06,0.8,Mil-Spec Grade
CZ75-Auto | Honey Paisley,The Harlequin Collection,0,0.6,Consumer Grade
CZ75-Auto | Indigo,The Canals Collection,0.06,0.8,Consumer Grade
CZ75-Auto | Nitro,The Overpass Collection,0.06,0.8,Mil-Spec Grade
CZ75-Auto | Tuxedo,The Bank Collection,0,0.8,Mil-Spec Grade
CZ75-Auto | Pink Pearl,The Radiant Collection,0,0.7,Consumer Grade
CZ75-Auto | Midnight Palm,The 2021 Mirage Collection,0,0.5,Industrial Grade
CZ75-Auto | Jungle Dashed,The Control Collection,0.06,0.8,Consumer Grade
Desert Eagle | Blaze,The Dust Collection,0,0.08,Restricted
Desert Eagle | Hypnotic,The Arms Deal Collection,0,0.08,Classified
Desert Eagle | Bronze Deco,The Chroma 2 Collection,0,0.46,Mil-Spec Grade
Desert Eagle | Meteorite,The Bank Collection,0,0.18,Mil-Spec Grade
Desert Eagle | Cobalt Disruption,The eSports 2013 Winter Collection,0,0.2,Classified
Desert Eagle | Night Heist,The Havoc Collection,0,0.65,Mil-Spec Grade
Desert Eagle | Emerald Jörmungandr,The Norse Collection,0,0.5,Restricted
Desert Eagle | The Bronze,The Control Collection,0,0.3,Industrial Grade
Desert Eagle | Golden Koi,The Bravo Collection,0,0.12,Covert
Desert Eagle | Sunset Storm 壱,The Rising Sun Collection,0,0.75,Restricted
Desert Eagle | Midnight Storm,The Rising Sun Collection,0,0.75,Industrial Grade
Desert Eagle | Sunset Storm 弐,The Rising Sun Collection,0,0.75,Restricted
Desert Eagle | Heat Treated,Limited Edition Item,0,1,Classified
Desert Eagle | Corinthian,The Revolver Case Collection,0,0.44,Mil-Spec Grade
Desert Eagle | Naga,The Chroma Collection,0,1,Restricted
Desert Eagle | Directive,The Gamma 2 Collection,0.06,1,Restricted
Desert Eagle | Kumicho Dragon,The Wildfire Collection,0,0.76,Classified
Desert Eagle | Heirloom,The Arms Deal 3 Collection,0,0.8,Restricted
Desert Eagle | Hand Cannon,The Cobblestone Collection,0.01,0.7,Restricted
Desert Eagle | Pilot,The Baggage Collection,0,1,Restricted
Desert Eagle | Printstream,The Fracture Collection,0,0.8,Covert
Desert Eagle | Trigger Discipline,The Snakebite Collection,0,0.97,Restricted
Desert Eagle | Conspiracy,The Breakout Collection,0,0.3,Classified
Desert Eagle | Ocean Drive,The Operation Riptide Collection,0,1,Covert
Desert Eagle | Blue Ply,The Prisma 2 Collection,0,1,Mil-Spec Grade
Desert Eagle | Oxide Blaze,The Spectrum Collection,0,0.5,Mil-Spec Grade
Desert Eagle | Starcade,The Graphic Design Collection,0,0.75,Classified
Desert Eagle | Tilted,The Overpass 2024 Collection,0,0.75,Industrial Grade
Desert Eagle | Calligraffiti,The Gallery Collection,0,1,Mil-Spec Grade
Desert Eagle | Firebreathing,The Dead Hand Collection,0,1,Restricted
Desert Eagle | Serpent Strike,The Fever Collection,0,0.57,Restricted
Desert Eagle | Code Red,The Horizon Collection,0,1,Covert
Desert Eagle | Light Rail,The Prisma Collection,0,0.9,Restricted
Desert Eagle | Fennec Fox,The 2021 Mirage Collection,0,0.8,Classified
Desert Eagle | Mecha Industries,The Danger Zone Collection,0,0.6,Classified
Desert Eagle | Mint Fan,The Ascent Collection,0,0.6,Mil-Spec Grade
Desert Eagle | Urban DDPAT,The Overpass Collection,0.06,0.8,Industrial Grade
Desert Eagle | Mudder,The Lake Collection,0.06,0.8,Industrial Grade
Desert Eagle | Urban Rubble,The Train Collection,0,0.5,Mil-Spec Grade
Desert Eagle | Crimson Web,The eSports 2014 Summer Collection,0.06,0.8,Restricted
Desert Eagle | The Daily Deagle,The Achroma Collection,0,0.58,Mil-Spec Grade
Desert Eagle | Night,The Chop Shop Collection,0.06,0.8,Industrial Grade
Desert Eagle | Mulberry,The Radiant Collection,0,0.75,Restricted
Desert Eagle | Sputnik,The 2021 Train Collection,0,0.5,Mil-Spec Grade
Dual Berettas | Cobalt Quartz,The Lake Collection,0,0.4,Restricted
Dual Berettas | Heist,The Havoc Collection,0,0.7,Consumer Grade
Dual Berettas | Hemoglobin,The Arms Deal 2 Collection,0,0.2,Restricted
Dual Berettas | Emerald,The Canals Collection,0,0.08,Mil-Spec Grade
Dual Berettas | Anodized Navy,The Inferno Collection,0,0.08,Mil-Spec Grade
Dual Berettas | Cartel,The Wildfire Collection,0,1,Mil-Spec Grade
Dual Berettas | Stained,The Italy Collection,0,1,Industrial Grade
Dual Berettas | Flora Carnivora,The Recoil Collection,0,1,Restricted
Dual Berettas | Twin Turbo,The 2018 Inferno Collection,0,1,Classified
Dual Berettas | Dualing Dragons,The Shadow Collection,0,1,Mil-Spec Grade
Dual Berettas | Melondrama,The Dreams & Nightmares Collection,0,1,Classified
Dual Berettas | Urban Shock,The Chroma Collection,0,0.47,Restricted
Dual Berettas | Sweet Little Angels,The Overpass 2024 Collection,0,0.82,Restricted
Dual Berettas | Retribution,The Huntsman Collection,0,0.45,Mil-Spec Grade
Dual Berettas | Black Limba,The Bravo Collection,0.06,0.8,Mil-Spec Grade
Dual Berettas | Hideout,The Kilowatt Collection,0,0.698529,Mil-Spec Grade
Dual Berettas | Angel Eyes,The Genesis Collection,0,1,Restricted
Dual Berettas | Hydro Strike,The Gallery Collection,0,0.801418,Restricted
Dual Berettas | Royal Consorts,The Glove Collection,0,1,Restricted
Dual Berettas | Tread,The Operation Riptide Collection,0,1,Mil-Spec Grade
Dual Berettas | Elite 1.6,The CS20 Collection,0,0.7,Mil-Spec Grade
Dual Berettas | Dezastre,The Operation Broken Fang Collection,0,1,Restricted
Dual Berettas | Balance,The Shattered Web Collection,0,1,Mil-Spec Grade
Dual Berettas | Cobra Strike,The Operation Hydra Collection,0,0.6,Classified
Dual Berettas | Ventilators,The Chroma 3 Collection,0,0.45,Mil-Spec Grade
Dual Berettas | Duelist,The Chop Shop Collection,0,1,Restricted
Dual Berettas | Pyre,The Norse Collection,0.06,0.55,Industrial Grade
Dual Berettas | Marina,The Winter Offensive Collection,0.05,0.5,Restricted
Dual Berettas | Switch Board,The Control Collection,0,0.65,Industrial Grade
Dual Berettas | Briar,The Cobblestone Collection,0,0.22,Consumer Grade
Dual Berettas | Moon in Libra,The Gods and Monsters Collection,0,0.5,Consumer Grade
Dual Berettas | Panther,The Arms Deal 3 Collection,0,0.58,Mil-Spec Grade
Dual Berettas | Contractor,The Safehouse Collection,0.06,0.8,Consumer Grade
Dual Berettas | Colony,The Train Collection,0.06,0.8,Consumer Grade
Dual Berettas | Demolition,The Vertigo Collection,0.26,0.6,Restricted
Dual Berettas | BorDeux,The Radiant Collection,0,0.8,Consumer Grade
Dual Berettas | Polished Malachite,The Boreal Collection,0,0.8,Industrial Grade
Dual Berettas | Silver Pour,The Achroma Collection,0,0.678431,Consumer Grade
Dual Berettas | Rose Nacre,The Ascent Collection,0,0.7,Industrial Grade
Dual Berettas | Drift Wood,The 2021 Mirage Collection,0,0.6,Industrial Grade
Dual Berettas | Shred,The Horizon Collection,0,0.5,Mil-Spec Grade
Dual Berettas | Oil Change,The 2021 Vertigo Collection,0,0.5,Consumer Grade
FAMAS | Faulty Wiring,The 2021 Vertigo Collection,0,0.5,Consumer Grade
FAMAS | Neural Net,The Falchion Collection,0,0.6,Restricted
FAMAS | Meltdown,The 2021 Train Collection,0,0.4,Classified
FAMAS | Styx,The Cache Collection,0,0.6,Restricted
FAMAS | Prime Conspiracy,The Control Collection,0,0.55,Restricted
FAMAS | Dark Water,The Ancient Collection,0.1,0.26,Mil-Spec Grade
FAMAS | Sergeant,The Phoenix Collection,0.1,1,Restricted
FAMAS | Valence,The Wildfire Collection,0,0.8,Restricted
FAMAS | Djinn,The Chroma 2 Collection,0,1,Classified
FAMAS | Afterimage,The eSports 2013 Winter Collection,0.02,0.4,Classified
FAMAS | Waters of Nephthys,The Anubis Collection,0,0.7,Classified
FAMAS | Survivor Z,The Shadow Collection,0,0.6,Mil-Spec Grade
FAMAS | Decommissioned,The CS20 Collection,0,1,Mil-Spec Grade
FAMAS | Eye of Athena,The Horizon Collection,0,0.7,Classified
FAMAS | Pulse,The Winter Offensive Collection,0,0.4,Restricted
FAMAS | ZX Spectron,The Operation Riptide Collection,0,1,Restricted
FAMAS | Bad Trip,The Fever Collection,0,1,Covert
FAMAS | Meow 36,The Recoil Collection,0,1,Mil-Spec Grade
FAMAS | Commemoration,The CS20 Collection,0,0.5,Covert
FAMAS | Mecha Industries,The Glove Collection,0,0.5,Classified
FAMAS | Roll Cage,The Gamma 2 Collection,0,1,Covert
FAMAS | Rapid Eye Movement,The Dreams & Nightmares Collection,0,1,Classified
FAMAS | Half Sleeve,The Sport & Field Collection,0,1,Industrial Grade
FAMAS | 2A2F,The Train 2025 Collection,0,0.86,Mil-Spec Grade
FAMAS | Halftone Wash,The Graphic Design Collection,0,0.5,Industrial Grade
FAMAS | Hexane,The Arms Deal 2 Collection,0,0.4,Mil-Spec Grade
FAMAS | Doomkitty,The eSports 2013 Collection,0.08,0.22,Mil-Spec Grade
FAMAS | Cyanospatter,The Lake Collection,0.06,0.8,Industrial Grade
FAMAS | CaliCamo,The 2021 Mirage Collection,0,0.6,Industrial Grade
FAMAS | Byproduct,The Harlequin Collection,0,0.55,Consumer Grade
FAMAS | Colony,The Italy Collection,0.06,0.8,Consumer Grade
FAMAS | Yeti Camo,The Ascent Collection,0,0.7,Mil-Spec Grade
FAMAS | Vendetta,The Achroma Collection,0,0.6,Industrial Grade
FAMAS | Grey Ghost,The Radiant Collection,0,0.637288,Industrial Grade
FAMAS | Crypsis,The Prisma Collection,0,0.55,Mil-Spec Grade
FAMAS | Macabre,The Operation Hydra Collection,0,0.6,Mil-Spec Grade
FAMAS | Night Borre,The Norse Collection,0,0.55,Consumer Grade
FAMAS | Teardown,The Safehouse Collection,0,0.6,Mil-Spec Grade
FAMAS | Sundown,The St. Marc Collection,0,0.6,Mil-Spec Grade
FAMAS | Spitfire,The Alpha Collection,0.06,0.8,Restricted
FAMAS | Contrast Spray,The Office Collection,0.06,0.8,Consumer Grade
FAMAS | Palm,The Boreal Collection,0,0.75,Consumer Grade
Five-SeveN | Berries And Cherries,The Control Collection,0,0.1,Restricted
Five-SeveN | Copper Galaxy,The Arms Deal 3 Collection,0,0.2,Restricted
Five-SeveN | Silver Quartz,The Safehouse Collection,0,0.4,Mil-Spec Grade
Five-SeveN | Anodized Gunmetal,The Alpha Collection,0,0.08,Consumer Grade
Five-SeveN | Fowl Play,The Breakout Collection,0,1,Classified
Five-SeveN | Heat Treated,The Sport & Field Collection,0,1,Restricted
Five-SeveN | Scumbria,The Gamma 2 Collection,0,1,Mil-Spec Grade
Five-SeveN | Case Hardened,The Arms Deal 2 Collection,0,1,Restricted
Five-SeveN | Angry Mob,The Prisma Collection,0,0.7,Covert
Five-SeveN | Violent Daimyo,The Gamma Collection,0,0.7,Mil-Spec Grade
Five-SeveN | Fairy Tale,The Operation Broken Fang Collection,0.02,0.9,Classified
Five-SeveN | Scrawl,The Dreams & Nightmares Collection,0,1,Mil-Spec Grade
Five-SeveN | Triumvirate,The Wildfire Collection,0,0.61,Restricted
Five-SeveN | Monkey Business,The Chroma 2 Collection,0.1,0.9,Classified
Five-SeveN | Buddy,The CS20 Collection,0,0.55,Restricted
Five-SeveN | Hyper Beast,The Operation Hydra Collection,0,1,Covert
Five-SeveN | Retrobution,The Revolver Case Collection,0,1,Restricted
Five-SeveN | Urban Hazard,The Vanguard Collection,0,0.25,Mil-Spec Grade
Five-SeveN | Capillary,The Spectrum Collection,0,0.7,Mil-Spec Grade
Five-SeveN | Fall Hazard,The 2021 Vertigo Collection,0.01,0.52,Classified
Five-SeveN | Hybrid,The Kilowatt Collection,0,1,Restricted
Five-SeveN | Dark Polymer,The Dead Hand Collection,0,1,Mil-Spec Grade
Five-SeveN | Boost Protocol,The Operation Riptide Collection,0,0.41,Restricted
Five-SeveN | Flame Test,The Clutch Collection,0,0.65,Mil-Spec Grade
Five-SeveN | Crimson Blossom,The St. Marc Collection,0,0.5,Mil-Spec Grade
Five-SeveN | Coolant,The 2018 Nuke Collection,0,0.5,Consumer Grade
Five-SeveN | Nightshade,The eSports 2013 Winter Collection,0,0.5,Mil-Spec Grade
